timestamp,pyth_price,dex_price,price_vs_sma,momentum,volatility,liquidity,spread,trend,label
1766334695748,119.2338,125.2935,128,128,0,45,133,0,0
1766334705762,119.2338,125.2935,128,128,0,45,133,0,0
1766334715751,119.2338,125.2935,128,128,0,45,133,0,0
1766334725749,119.2338,125.2935,128,128,0,45,133,0,0
1766334735748,119.2338,125.2935,128,128,0,45,133,0,0
1766334745749,119.2338,125.2935,128,128,0,45,133,0,0
1766334755754,119.2338,125.2935,128,128,0,45,133,0,0
1766334765758,119.2338,125.2935,128,128,0,45,133,0,0
1766334775766,119.2338,125.2935,128,128,0,45,133,0,0
1766334785766,119.2338,125.2935,128,128,0,45,133,0,0
1766334795765,119.2338,125.2935,128,128,0,45,133,0,0
1766334805754,119.2338,125.2935,128,128,0,45,133,0,0
1766334815760,119.2338,125.2935,128,128,0,45,133,0,0
1766334825773,119.2338,125.2935,128,128,0,45,133,0,0
1766334835757,119.2338,125.2935,128,128,0,45,133,0,0
1766334845785,119.2338,125.2935,128,128,0,45,133,0,0
1766334855759,119.2338,125.2956,128,128,0,45,133,0,0
1766334865763,119.2338,125.2956,128,128,0,45,133,0,0
1766334875759,119.2338,125.2956,128,128,0,45,133,0,0
1766334885771,119.2338,125.2956,128,128,0,45,133,0,0
1766334895770,119.2338,125.2956,128,128,0,45,133,0,0
1766334905768,119.2338,125.2956,128,128,0,45,133,0,0
1766334915769,119.2338,125.2956,128,128,0,45,133,0,0
1766334925771,119.2338,125.2956,128,128,0,45,133,0,0
1766334935790,119.2338,125.2956,128,128,0,45,133,0,0
1766334945770,119.2338,125.2956,128,128,0,45,133,0,0
1766334955772,119.2338,125.2956,128,128,0,45,133,0,0
1766334965772,119.2338,125.2956,128,128,0,45,133,0,0
1766334975772,119.2338,125.2956,128,128,0,45,133,0,0
1766334985772,119.2338,125.2956,128,128,0,45,133,0,0
1766334995770,119.2338,125.2956,128,128,0,45,133,0,0
1766335005776,119.2338,125.2956,128,128,0,45,133,0,0
1766335015781,119.2338,125.2956,128,128,0,45,133,0,0
1766335025777,119.2338,125.2956,128,128,0,45,133,0,0
1766335035777,119.2338,125.2956,128,128,0,45,133,0,0
1766335045782,119.2338,125.2956,128,128,0,45,133,0,0
1766335055797,119.2338,125.2956,128,128,0,45,133,0,0
1766335065786,119.2338,125.2956,128,128,0,45,133,0,0
1766335075778,119.2338,125.2956,128,128,0,45,133,0,0
1766335085790,119.2338,125.2956,128,128,0,45,133,0,0
1766335095784,119.2338,125.2956,128,128,0,45,133,0,0
1766335105787,119.2338,125.2956,128,128,0,45,133,0,0
1766335115793,119.2338,125.2956,128,128,0,45,133,0,0
1766335125793,119.2338,125.2956,128,128,0,45,133,0,0
1766335135792,119.2338,125.2956,128,128,0,45,133,0,0
1766335145792,119.2338,125.2956,128,128,0,45,133,0,0
1766335155788,119.2338,125.2956,128,128,0,45,133,0,0
1766335165789,119.2338,125.2956,128,128,0,45,133,0,0
1766335175816,119.2338,125.2956,128,128,0,45,133,0,0
1766335185793,119.2338,125.2956,128,128,0,45,133,0,0
1766335195802,119.2338,125.2956,128,128,0,45,133,0,0
1766335205808,119.2338,125.2956,128,128,0,45,133,0,0
1766335215793,119.2338,125.2956,128,128,0,45,133,0,0
1766335225803,119.2338,125.2956,128,128,0,45,133,0,0
1766335235791,119.2338,125.2956,128,128,0,45,133,0,0
1766335245802,119.2338,125.2956,128,128,0,45,133,0,0
1766338450766,119.2338,125.8768,128,128,0,45,134,0,0
1766338460604,119.2338,125.8768,128,128,0,45,134,0,0
1766338470599,119.2338,125.8768,128,128,0,45,134,0,0
1766338480607,119.2338,125.8768,128,128,0,45,134,0,0
1766338490578,119.2338,125.8768,128,128,0,45,134,0,0
1766338500606,119.2338,125.8768,128,128,0,45,134,0,0
1766338510592,119.2338,125.8837,128,128,0,45,134,0,0
1766338520583,119.2338,125.8837,128,128,0,45,134,0,0
1766338530582,119.2338,125.8837,128,128,0,45,134,0,0
1766338540578,119.2338,125.8837,128,128,0,45,134,0,0
1766338550601,119.2338,125.8848,128,128,0,45,134,0,0
1766338560587,119.2338,125.8848,128,128,0,45,134,0,0
1766338570588,119.2338,125.8848,128,128,0,45,134,0,0
1766338580590,119.2338,125.8848,128,128,0,45,134,0,0
1766338590578,119.2338,125.8848,128,128,0,45,134,0,0
1766338600583,119.2338,125.8848,128,128,0,45,134,0,0
1766338610633,119.2338,125.8848,128,128,0,45,134,0,0
1766338620616,119.2338,125.8848,128,128,0,45,134,0,0
1766338630653,119.2338,125.8848,128,128,0,45,134,0,0
1766338640606,119.2338,125.8848,128,128,0,45,134,0,0
1766338650593,119.2338,125.8848,128,128,0,45,134,0,0
1766338660605,119.2338,125.8848,128,128,0,45,134,0,0
1766338670595,119.2338,125.8848,128,128,0,45,134,0,0
1766338680598,119.2338,125.8848,128,128,0,45,134,0,0
1766338690597,119.2338,125.8848,128,128,0,45,134,0,0
1766338700618,119.2338,125.8848,128,128,0,45,134,0,0
1766338710595,119.2338,125.8848,128,128,0,45,134,0,0
1766338720598,119.2338,125.8848,128,128,0,45,134,0,0
1766338730597,119.2338,125.8848,128,128,0,45,134,0,0
1766338740605,119.2338,125.8848,128,128,0,45,134,0,0
1766338750620,119.2338,125.8848,128,128,0,45,134,0,0
1766338760590,119.2338,125.8848,128,128,0,45,134,0,0
1766341816106,119.2338,124.6719,128,128,0,45,133,0,0
1766341826104,119.2338,124.6719,128,128,0,45,133,0,0
1766341836121,119.2338,124.6720,128,128,0,45,133,0,0
1766341846111,119.2338,124.6720,128,128,0,45,133,0,0
1766341856116,119.2338,124.7117,128,128,0,45,133,0,0
1766341866107,119.2338,124.7117,128,128,0,45,133,0,0
1766341876113,119.2338,124.8331,128,128,0,45,133,0,0
1766341886112,119.2338,124.8331,128,128,0,45,133,0,0
1766341896119,119.2338,124.8331,128,128,0,45,133,0,0
1766341906145,119.2338,124.8331,128,128,0,45,133,0,0
1766341916119,119.2338,124.8314,128,128,0,45,133,0,0
1766341926122,119.2338,124.8314,128,128,0,45,133,0,0
1766341936116,119.2338,124.8258,128,128,0,45,133,0,0
1766341946119,119.2338,124.8254,128,128,0,45,133,0,0
1766341956161,119.2338,124.8254,128,128,0,45,133,0,0
1766341966125,119.2338,124.8254,128,128,0,45,133,0,0
1766341976130,119.2338,124.8254,128,128,0,45,133,0,0
1766341986147,119.2338,124.8254,128,128,0,45,133,0,0
1766341996143,119.2338,124.8254,128,128,0,45,133,0,0
1766342006131,119.2338,124.8254,128,128,0,45,133,0,0
1766342016139,119.2338,124.8254,128,128,0,45,133,0,0
1766342026132,119.2338,124.8254,128,128,0,45,133,0,0
1766342036137,119.2338,124.8254,128,128,0,45,133,0,0
1766342046147,119.2338,124.8254,128,128,0,45,133,0,0
1766342056142,119.2338,124.8254,128,128,0,45,133,0,0
1766342066157,119.2338,124.8254,128,128,0,45,133,0,0
1766342076136,119.2338,124.8254,128,128,0,45,133,0,0
1766342086140,119.2338,124.8254,128,128,0,45,133,0,0
1766342096136,119.2338,124.8254,128,128,0,45,133,0,0
1766342106250,119.2338,124.8254,128,128,0,45,133,0,0
1766342116145,119.2338,124.8254,128,128,0,45,133,0,0
1766342126131,119.2338,124.8254,128,128,0,45,133,0,0
1766342136142,119.2338,124.8254,128,128,0,45,133,0,0
1766342146131,119.2338,124.8254,128,128,0,45,133,0,0
1766342156147,119.2338,124.8254,128,128,0,45,133,0,0
1766342166141,119.2338,124.8254,128,128,0,45,133,0,0
1766342176131,119.2338,124.8254,128,128,0,45,133,0,0
1766342186148,119.2338,124.8254,128,128,0,45,133,0,0
1766342196142,119.2338,124.8254,128,128,0,45,133,0,0
1766342206140,119.2338,124.8254,128,128,0,45,133,0,0
1766342216147,119.2338,124.8254,128,128,0,45,133,0,0
1766342226147,119.2338,124.8254,128,128,0,45,133,0,0
1766342236156,119.2338,124.8254,128,128,0,45,133,0,0
1766342246138,119.2338,124.8254,128,128,0,45,133,0,0
1766342256148,119.2338,124.8254,128,128,0,45,133,0,0
1766342266147,119.2338,124.8254,128,128,0,45,133,0,0
1766342276174,119.2338,124.8255,128,128,0,45,133,0,0
1766342286155,119.2338,124.8255,128,128,0,45,133,0,0
1766342296155,119.2338,124.8254,128,128,0,45,133,0,0
1766342306159,119.2338,124.8254,128,128,0,45,133,0,0
1766342316155,119.2338,124.8254,128,128,0,45,133,0,0
1766342326162,119.2338,124.8254,128,128,0,45,133,0,0
1766342336158,119.2338,124.8254,128,128,0,45,133,0,0
1766342346153,119.2338,124.8254,128,128,0,45,133,0,0
1766342356162,119.2338,124.8254,128,128,0,45,133,0,0
1766342366157,119.2338,124.8254,128,128,0,45,133,0,0
1766342376164,119.2338,124.8254,128,128,0,45,133,0,0
1766342386163,119.2338,124.8254,128,128,0,45,133,0,0
1766342396159,119.2338,124.8254,128,128,0,45,133,0,0
1766342406156,119.2338,124.8230,128,128,0,45,133,0,0
1766342416158,119.2338,124.8230,128,128,0,45,133,0,0
1766342426167,119.2338,124.8230,128,128,0,45,133,0,0
1766342436167,119.2338,124.8230,128,128,0,45,133,0,0
1766342446166,119.2338,124.8230,128,128,0,45,133,0,0
1766342456169,119.2338,124.8230,128,128,0,45,133,0,0
1766342466168,119.2338,124.8230,128,128,0,45,133,0,0
1766342476171,119.2338,124.8412,128,128,0,45,133,0,0
1766342486175,119.2338,124.8587,128,128,0,45,133,0,0
1766342496173,119.2338,124.8645,128,128,0,45,133,0,0
1766342506173,119.2338,124.8645,128,128,0,45,133,0,0
1766342516171,119.2338,124.8645,128,128,0,45,133,0,0
1766342526179,119.2338,124.8645,128,128,0,45,133,0,0
1766342935385,119.2338,124.9179,128,128,0,45,133,0,0
1766342945353,119.2338,124.9181,128,128,0,45,133,0,0
1766342955358,119.2338,124.9181,128,128,0,45,133,0,0
1766342965360,119.2338,124.9181,128,128,0,45,133,0,0
1766342975361,119.2338,124.9181,128,128,0,45,133,0,0
1766342985356,119.2338,124.9181,128,128,0,45,133,0,0
1766342995354,119.2338,124.9181,128,128,0,45,133,0,0
1766343005358,119.2338,124.9181,128,128,0,45,133,0,0
1766343015350,119.2338,124.9181,128,128,0,45,133,0,0
1766343025358,119.2338,124.9181,128,128,0,45,133,0,0
1766343035364,119.2338,124.9181,128,128,0,45,133,0,0
1766343045365,119.2338,124.9181,128,128,0,45,133,0,0
1766343055357,119.2338,124.9181,128,128,0,45,133,0,0
1766343065362,119.2338,124.9181,128,128,0,45,133,0,0
1766343075370,119.2338,124.9181,128,128,0,45,133,0,0
1766343085360,119.2338,124.9181,128,128,0,45,133,0,0
1766343095359,119.2338,124.9181,128,128,0,45,133,0,0
1766343105362,119.2338,124.9181,128,128,0,45,133,0,0
1766343115366,119.2338,124.9181,128,128,0,45,133,0,0
1766343125368,119.2338,124.9181,128,128,0,45,133,0,0
1766343135366,119.2338,124.9181,128,128,0,45,133,0,0
1766343145365,119.2338,124.9181,128,128,0,45,133,0,0
1766343155370,119.2338,124.9181,128,128,0,45,133,0,0
1766343165370,119.2338,124.9181,128,128,0,45,133,0,0
1766343175381,119.2338,124.9181,128,128,0,45,133,0,0
1766343185370,119.2338,124.9181,128,128,0,45,133,0,0
1766343195376,119.2338,124.9181,128,128,0,45,133,0,0
1766343205376,119.2338,124.9250,128,128,0,45,133,0,0
1766343215381,119.2338,124.9270,128,128,0,45,133,0,0
1766343225376,119.2338,124.9270,128,128,0,45,133,0,0
1766343235375,119.2338,124.9270,128,128,0,45,133,0,0
1766343245381,119.2338,124.9270,128,128,0,45,133,0,0
